id,name,scientific_name,life_time
1,"Lion, mountain",Felis concolor,37.4
2,Brazilian otter,Pteronura brasiliensis,1.8
3,"Gnu, brindled",Connochaetus taurinus,50.8
4,"Toucan, white-throated",Ramphastos tucanus,32.5
5,Jungle kangaroo,Macropus agilis,42.5
6,South American sea lion,Otaria flavescens,37.8
7,Silver-backed jackal,Canis mesomelas,13.1
8,Greylag goose,Anser anser,22.0
9,African bush squirrel,Paraxerus cepapi,3.8
10,"Hawk-eagle, crowned",Spizaetus coronatus,58.2
11,"Shrew, mandras tree",Anathana ellioti,32.4
12,"Lemming, arctic",Dicrostonyx groenlandicus,36.2
13,Andean goose,Chloephaga melanoptera,42.7
14,Warthog,Phacochoerus aethiopus,34.2
15,"Fox, savanna",Dusicyon thous,58.3
16,African polecat,Ictonyx striatus,51.1
17,Malleefowl,Leipoa ocellata,38.7
18,Sage hen,Centrocercus urophasianus,63.4
19,Western lowland gorilla,Gorilla gorilla,21.4
20,"Phascogale, brush-tailed",Phascogale tapoatafa,2.3
21,"Rattlesnake, eastern diamondback",Crotalus adamanteus,69.9
22,Glossy starling (unidentified),Lamprotornis sp.,26.2
23,Jaguarundi,Felis yagouaroundi,1.5
24,Arctic lemming,Dicrostonyx groenlandicus,58.6
25,Black kite,Milvus migrans,58.7
26,"Cat, native",Dasyurus viverrinus,20.7
27,Frog (unidentified),Rana sp.,0.1
28,Black-throated cardinal,Paroaria gularis,42.3
29,Short-beaked echidna,Tachyglossus aculeatus,65.6
30,"Stork, white-necked",Ciconia episcopus,28.6
31,"Flamingo, lesser",Phoeniconaias minor,20.4
32,"Mongoose, banded",Mungos mungo,3.9
33,Four-spotted skimmer,Libellula quadrimaculata,46.4
34,African polecat,Ictonyx striatus,69.4
35,Galapagos dove,Zenaida galapagoensis,10.5
36,"Turtle, long-necked",Chelodina longicollis,49.7
37,Black-throated cardinal,Paroaria gularis,45.7
38,"Drongo, fork-tailed",Dicrurus adsimilis,61.2
39,"Armadillo, common long-nosed",Dasypus novemcinctus,42.4
40,American bison,Bison bison,4.4
41,Black spider monkey,Ateles paniscus,31.0
42,Snowy owl,Nyctea scandiaca,18.3
43,"Possum, golden brush-tailed",Trichosurus vulpecula,63.9
44,"Shrew, mandras tree",Anathana ellioti,59.8
45,South American sea lion,Otaria flavescens,9.4
46,"Boa, columbian rainbow",Epicrates cenchria maurus,2.7
47,"Gazelle, thomson's",Gazella thompsonii,5.6
48,Barasingha deer,Cervus duvauceli,15.1
49,Puma,Felis concolor,9.3
50,Dark-winged trumpeter,Psophia viridis,51.5
51,"Cormorant, pied",Phalacrocorax varius,43.6
52,Bontebok,Damaliscus dorcas,24.0
53,"Heron, grey",Ardea cinerea,0.8
54,Kinkajou,Potos flavus,4.5
55,Eastern indigo snake,Drymarchon corias couperi,3.7
56,"Lory, rainbow",Trichoglossus haematodus moluccanus,15.7
